,movie_id,title,kafka_id
437,1561.0,Mouchette,mouchette+1967
438,1563.0,Sunless,sunless+1983
439,1578.0,Raging Bull,raging+bull+1980
440,1579.0,Apocalypto,apocalypto+2006
441,1583.0,Lammbock,lammbock+2001
442,1584.0,School of Rock,school+of+rock+2003
443,1587.0,What's Eating Gilbert Grape,whats+eating+gilbert+grape+1993
444,1591.0,Nowhere in Africa,nowhere+in+africa+2001
445,1594.0,A Shot in the Dark,a+shot+in+the+dark+1964
446,1599.0,I Heart Huckabees,i+heart+huckabees+2004
447,1607.0,A Bronx Tale,a+bronx+tale+1993
448,1622.0,Lemming,lemming+2005
449,1623.0,Brubaker,brubaker+1980
450,1626.0,Vivre Sa Vie,vivre+sa+vie+1962
451,1627.0,The Wild Child,the+wild+child+1970
452,1628.0,Jules and Jim,jules+and+jim+1962
453,1630.0,The People vs. Larry Flynt,the+people+vs.+larry+flynt+1996
454,1632.0,Mississippi Burning,mississippi+burning+1988
455,1633.0,Fried Green Tomatoes,fried+green+tomatoes+1991
456,1637.0,Speed,speed+1994
457,1644.0,The Vanishing,the+vanishing+1993
458,1645.0,A Time to Kill,a+time+to+kill+1996
459,1649.0,Bill & Ted's Bogus Journey,bill++teds+bogus+journey+1991
460,1653.0,The Motorcycle Diaries,the+motorcycle+diaries+2004
461,1669.0,The Hunt for Red October,the+hunt+for+red+october+1990
462,1675.0,Day for Night,day+for+night+1973
463,1677.0,Ray,ray+2004
464,1678.0,Godzilla,godzilla+1954
465,1685.0,Beneath the Planet of the Apes,beneath+the+planet+of+the+apes+1970
466,1712.0,Giant,giant+1956
467,1715.0,The Cider House Rules,the+cider+house+rules+1999
468,1718.0,Santa Fe Trail,santa+fe+trail+1940
469,1724.0,The Incredible Hulk,the+incredible+hulk+2008
470,1726.0,Iron Man,iron+man+2008
471,1730.0,INLAND EMPIRE,inland+empire+2006
472,1736.0,Shoppen,shoppen+2007
473,1771.0,Captain America: The First Avenger,captain+america+the+first+avenger+2011
474,1774.0,The Big One,the+big+one+1997
475,1785.0,May Fools,may+fools+1990
476,1786.0,Au Revoir les Enfants,au+revoir+les+enfants+1987
477,1788.0,Footloose,footloose+1984
478,1789.0,The Gazebo,the+gazebo+1959
479,1807.0,Elephant,elephant+2003
480,1810.0,Viva Zapata!,viva+zapata+1952
